title,authors,year,venue,doi,url
Gemini 1.5: Unlocking multimodal understanding across millions of tokens of context,"Machel Reid, Nikolay Savinov, Denis Teplyashin, Dmitry Lepikhin, T. Lillicrap, Jean-Baptiste Alayrac, Radu Soricut, Angeliki Lazaridou, Orhan Firat, Julian Schrittwieser, Ioannis Antonoglou, Rohan Anil, Sebastian Borgeaud, Andrew M. Dai, Katie Millican, Ethan Dyer, Mia Glaese, Thibault Sottiaux, Ben-jamin Lee, Fabio Viola, Malcolm Reynolds, Yuanzhong Xu, James Molloy, Jilin Chen, M. Isard, P. Barham, Tom Hennigan, Ross Mcilroy, Melvin Johnson, J. Schalkwyk, Eli Collins, Eliza Rutherford, Erica Moreira, Kareem W. Ayoub, Megha Goel, Clemens Meyer, Gregory Thornton, Zhen Yang, H. Michalewski, Zaheer Abbas, Nathan Schucher, Ankesh Anand, Richard Ives, James Keeling, Karel Lenc, S. Haykal, Siamak Shakeri, Pranav Shyam, A. Chowdhery, Roman Ring, Stephen Spencer, Eren Sezener, Luke Vilnis, Os-car Chang, Nobuyuki Morioka, George Tucker, Ce Zheng, Oliver Woodman, Nithya Attaluri, Tomás Kociský, Evgenii Eltyshev, Xi Chen, Timothy Chung, Vittorio Selo, Siddhartha Brahma, Petko Georgiev, Ambrose Slone, Zhenkai Zhu, James Lottes, Siyuan Qiao, Ben Caine, Sebastian Riedel, Alex Tomala, Martin Chadwick, J Christopher Love, Peter Choy, Sid Mittal, N. Houlsby, Yunhao Tang, Matthew Lamm, Libin Bai, Qiao Zhang, Luheng He, Yong Cheng, Peter Humphreys, Yujia Li, Sergey Brin, Albin Cassirer, Ying-Qi Miao, Lukás Zilka, Taylor Tobin, Kelvin Xu, Lev Proleev, Daniel Sohn, Alberto Magni, L. Hendricks, Isabel Gao, Santiago Ontan'on, Oskar Bunyan, Nathan Byrd, Abhanshu Sharma, Biao Zhang, Mario Pinto, Rishika Sinha, Harsh Mehta, Dawei Jia, Sergi Caelles, Albert Webson, Alex Morris, Becca Roelofs, Yifan Ding, Robin Strudel, Xuehan Xiong, Marvin Ritter, Mostafa Dehghani, R. Chaabouni, Abhijit Karmarkar, Guangda Lai, Fabian Mentzer, Bibo Xu, YaGuang Li, Yujing Zhang, T. Paine, Alex Goldin, Behnam Neyshabur, Kate Baumli, Anselm Levskaya, Michael Laskin, Wenhao Jia, Jack W. Rae, Kefan Xiao, Antoine He, Skye Giordano, Lakshman Yagati, Jean-Baptiste Lespiau, Paul Natsev, Sanjay Ganapathy, Fangyu Liu, Danilo Martins, Nanxin Chen, Yunhan Xu, Megan Barnes, Rhys May, Arpi Vezer, Junhyuk Oh, Ken Franko, Sophie Bridgers, Ruizhe Zhao, Boxi Wu, Basil Mustafa, Sean Sechrist, Emilio Parisotto, Thanumalayan Sankaranarayana Pillai, Chris Larkin, Chenjie Gu, Christina Sorokin, M. Krikun, Alexey Guseynov, Jessica Landon, Romina Datta, A. Pritzel, Phoebe Thacker, Fan Yang, Kevin Hui, A.E. Hauth, C. Yeh, David Barker, J. Mao-Jones, Sophia Austin, Hannah Sheahan, Parker Schuh, James Svensson, Rohan Jain, V. Ramasesh, Anton Briukhov, D. Chung, Tamara von Glehn, Christina Butterfield, Priya Jhakra, Matt Wiethoff, Justin Frye, Jordan Grimstad, Beer Changpinyo, Charline Le Lan, Anna Bortsova, Yonghui Wu, P. Voigtlaender, Tara N. Sainath, Charlotte Smith, Will Hawkins, Kris Cao, James Besley, S. Srinivasan, Mark Omernick, Colin Gaffney, G. Surita, Ryan Burnell, Bogdan Damoc, Junwhan Ahn, Andrew Brock, Mantas Pajarskas, Anastasia Petrushkina, Seb Noury, Lorenzo Blanco, Kevin Swersky, Arun Ahuja, Thi Avrahami, Vedant Misra, Raoul de Liedekerke, Mariko Iinuma, A. Polozov, Sarah York, George van den Driessche, Paul Michel, Justin Chiu, Rory Blevins, Zach Gleicher, Adrià Recasens, Alban Rrustemi, E. Gribovskaya, Au-rko Roy, Wiktor Gworek, Sébastien M. R. Arnold, Lisa Lee, James Lee-Thorp, M. Maggioni, Enrique Piqueras, Kartikeya Badola, S. Vikram, Lucas Gonzalez, Anirudh Baddepudi, Evan Senter, J. Devlin, James Qin, Michael Azzam, Maja Trebacz, M. Polacek, Kashyap Krishnakumar, Shuo-Yiin Chang, Matthew Tung, Ivo Penchev, Rishabh Joshi, Kate Olszewska, Carrie Muir, Mateo Wirth, A. Hartman, Joshua Newlan, S. Kashem, Vijay Bolina, Elahe Dabir, Joost R. van Amersfoort, Zafarali Ahmed, James Cobon-Kerr, Aishwarya B Kamath, A. M. Hrafnkelsson, Le Hou, Ian Mackinnon, Alexandre Frechette, Eric Noland, Xi-ance Si, Emanuel Taropa, Dong Li, Phil Crone, Anmol Gulati, S'ebastien Cevey, Jonas Adler, Ada Ma, David Silver, Simon Tokumine, Richard Powell, Stephan Lee, Michael B. Chang, Samer Hassan, Diana Mincu, Antoine Yang, Nir Levine, Jenny Brennan, Mingqiu Wang, Sarah Hodkinson, Jeffrey Zhao, Josh Lipschultz, Aedan Pope, Michael B. Chang, Cheng Li, Laurent El Shafey, M. Paganini, Sholto Douglas, Bernd Bohnet, Fabio Pardo, Seth Odoom, Mihaela Roșca, Cicero Nogueira dos Santos, Kedar Soparkar, A. Guez, Tom Hudson, Steven Hansen, Chulayuth Asawaroengchai, Ravichandra Addanki, Tianhe Yu, Wojciech Stokowiec, Mina Khan, Justin Gilmer, Jaehoon Lee, Carrie Grimes Bostock, Keran Rong, Jonathan Caton, Pedram Pejman, Filip Pavetic, Geoff Brown, Vivek Sharma, Mario Luvci'c, Rajku-mar Samuel, J. Djolonga, Amol Mandhane, Lars Lowe Sjosund, Elena Buchatskaya, Elspeth White, Natalie Clay, Jiepu Jiang, Hyeontaek Lim, Ross Hemsley, Jane Labanowski, Nicola De Cao, David Steiner, Sayed Hadi Hashemi, Jacob Austin, Anita Gergely, Tim Blyth, Joe Stanton, K. Shivakumar, Aditya Siddhant, Anders Andreassen, Carlos L. Araya, Nikhil Sethi, Rakesh Shivanna, Steven Hand, Ankur Bapna, A. Khodaei, Antoine Miech, Garrett Tanzer, Andy Swing, S. Thakoor, Zhufeng Pan, Zachary Nado, Stephanie Winkler, Dian Yu, Mohammad Saleh, Lorenzo Maggiore, Iain Barr, Minh Giang, Thais Kagohara, Ivo Danihelka, Amit Marathe, Vladimir Feinberg, Mohamed Elhawaty, Nimesh Ghelani, Dan Horgan, Helen Miller, Lexi Walker, Richard Tanburn, Mukarram Tariq, Disha Shrivastava, Fei Xia, Chung-Cheng Chiu, Zoe Ashwood, Khuslen Baatarsukh, Sina Samangooei, Fred Alcober, Axel Stjerngren, P. Komarek, Katerina Tsihlas, Anudhyan Boral, R. Comanescu, Jeremy Chen, Ruibo Liu, Dawn Bloxwich, Charlie Chen, Yanhua Sun, Fangxi-aoyu Feng, M. Mauger, Xerxes Dotiwalla, V. Hellendoorn, Michael Sharman, Ivy Zheng, Krishna Haridasan, Gabriel Barth-Maron, Craig Swanson, Dominika Rogozi'nska, Alek Andreev, P. Rubenstein, Ruoxin Sang, Dan Hurt, Gamaleldin Elsayed, Ren-shen Wang, Dave Lacey, Anastasija Ili'c, Yao Zhao, Woohyun Han, Lora Aroyo, Chimezie Iwuanyanwu, Vitaly Nikolaev, Balaji Lakshminarayanan, Sadegh Jazayeri, Raphael Lopez Kaufman, Mani Varadarajan, Chetan Tekur, Doug Fritz, Misha Khalman, David Reitter, Kingshuk Dasgupta, Shourya Sarcar, T. Ornduff, Javier Snaider, Fantine Huot, Johnson Jia, Rupert Kemp, Nejc Trdin, Anitha Vijayakumar, Lucy Kim, Christof Angermueller, Li Lao, Tianqi Liu, Haibin Zhang, David Engel, Somer Greene, Anais White, Jessica Austin, Lilly Taylor, Shereen Ashraf, Dangyi Liu, Maria Georgaki, Irene Cai, Yana Kulizhskaya, Sonam Goenka, Brennan Saeta, Kiran Vodrahalli, Christian Frank, D. Cesare, Brona Robenek, Harry Richardson, Mah-moud Alnahlawi, Christo-pher Yew, Priya Ponnapalli, M. Tagliasacchi, Alex Korchemniy, Yelin Kim, Dinghua Li, B. Rosgen, Kyle Levin, Jeremy Wiesner, Praseem Banzal, Praveen Srinivasan, Hongkun Yu, cCauglar Unlu, David Reid, Zora Tung, D. Finchelstein, Ravin Kumar, A. Elisseeff, Jin Huang, Ming Zhang, Rui Zhu, Ricardo Aguilar, Mai Gim'enez, Jiawei Xia, Olivier Dousse, W. Gierke, S. Yeganeh, Damion Yates, Komal Jalan, Lu Li, Eri Latorre-Chimoto, Duc Dung Nguyen, Ken Durden, Praveen Kallakuri, Yaxin Liu, Matthew Johnson, Tomy Tsai, Alice Talbert, Jasmine Liu, Alexander Neitz, C. Elkind, Marco Selvi, Mimi Jasarevic, Livio Baldini Soares, Livio Baldini Soares, Pidong Wang, A. Wang, Xinyu Ye, Krystal Kallarackal, Lucia Loher, Hoi Lam, Josef Broder, D. Holtmann-Rice, Nina Martin, Bramandia Ramadhana, Daniel Toyama, Mrinal Shukla, Sujoy Basu, Abhi Mohan",2024,arXiv.org,,https://www.semanticscholar.org/paper/c811bedbe8f4c21d0cba9f9175f7c2eb203284a7
Generate Novel Image Styles using Weighted Hybrid Generative Adversarial Nets,,,,,
"Generating ""Ideal"" Anime Opening Frames Using Neural Networks",,,,,
Generating Anime from Real Human Image with Adversarial Training,Shuvendu Roy,2019,"2019 1st International Conference on Advances in Science, Engineering and Robotics Technology (ICASERT)",,https://www.semanticscholar.org/paper/fd81274e2a2cb04aca10e716f551654d2ec20882
Generating coherent comic with rich story using ChatGPT and Stable Diffusion,"Ze Jin, Zorina Song",2023,arXiv.org,,https://www.semanticscholar.org/paper/7787efaf502421eac9b6b0fd946a82e1ecf4c8c9
Generating Digital Painting Lighting Effects via RGB-space Geometry,"Lvmin Zhang, E. Simo-Serra, Yi Ji, Chunping Liu",2020,ACM Transactions on Graphics,,https://www.semanticscholar.org/paper/3e1a8c969e45a20c6e99d25cd51144c443711853
Generating Manga from Illustrations via Mimicking Manga Workflow,Lvmin Zhang,2021,,,https://www.semanticscholar.org/paper/714be044d43ebda4adde777eeda63d71e075cd7c
Generating Manga from Illustrations via Mimicking Manga Workflow,,,,,
Edinburgh Research Explorer Generating visual stories with grounded and coreferent characters,"Danyang Liu, Mirella Lapata, Frank Keller",,,,https://www.semanticscholar.org/paper/3ee788f16851fc1cd2ae5bb941febef0e03d43a2
Generative Adversarial Networks for photo to Hayao Miyazaki style cartoons,"Filip Andersson, Simon Arvidsson",2020,arXiv.org,,https://www.semanticscholar.org/paper/56c2089a44c576a05d340d4dc14afa61d7e016df
Generative AI for Cel-Animation: A Survey,"Yunlong Tang, Junjia Guo, Pinxin Liu, Zhiyuan Wang, Hang Hua, Jia-Xing Zhong, Yunzhong Xiao, Chao Huang, Luchuan Song, Susan Liang, Yizhi Song, Liu He, Jing Bi, Mingqian Feng, Xinyang Li, Zeliang Zhang, Chenliang Xu",2025,arXiv.org,,https://www.semanticscholar.org/paper/9272b816db199322c837d61ace7874d6a7c5f7a5
Generative Omnimatte: Learning to Decompose Video into Layers,,,,,
Generative Probabilistic Image Colorization,,,,,
Globally Optimal Toon Tracking,,,,,
"Good Artists Copy, Great Artists Steal: Model Extraction Attacks Against Image Translation Models","Sebastian Szyller, Vasisht Duddu, Tommi Grondahl, Nirmal Asokan",2021,,,https://www.semanticscholar.org/paper/87af159e1eaa99d17b9b6aff6781f2342e8ff385
AlignMMBench: Evaluating Chinese Multimodal Alignment in Large Vision-Language Models,"Yuhang Wu, Wenmeng Yu, Yean Cheng, Yan Wang, Xiaohan Zhang, Jiazheng Xu, Ming Ding, Yuxiao Dong",2024,Annual Meeting of the Association for Computational Linguistics,,https://www.semanticscholar.org/paper/000d1d7fcc043c34a99afff72c06328034594bc7
Graph Jigsaw Learning for Cartoon Face Recognition,"Yong Li, Lingjie Lao, Zhen Cui, S. Shan, Jian Yang",2021,IEEE Transactions on Image Processing,,https://www.semanticscholar.org/paper/6c2fc2ac1d6d76569e37e4074a08908a7c66b831
Graph matching based anime colorization with multiple references,"Akinobu Maejima, Hiroyuki Kubo, Takuya Funatomi, T. Yotsukura, Satoshi Nakamura, Y. Mukaigawa",2019,SIGGRAPH Posters,,https://www.semanticscholar.org/paper/83837a5301c95cb1df2af1c99613493209f7e812
Grounding DINO: Marrying DINO with Grounded Pre-Training for Open-Set Object Detection,"Shilong Liu, Zhaoyang Zeng, Tianhe Ren, Feng Li, Hao Zhang, Jie Yang, Chun-yue Li, Jianwei Yang, Hang Su, Jun-Juan Zhu, Lei Zhang",2023,European Conference on Computer Vision,,https://www.semanticscholar.org/paper/c3e5a20b844c042d2174263d2fd5b30d8cc8f0b0
GroundVLP: Harnessing Zero-shot Visual Grounding from Vision-Language Pre-training and Open-Vocabulary Object Detection,,,,,
Guiding Users to Where to Give Color Hints for Efficient Interactive Sketch Colorization via Unsupervised Region Prioritization,"Youngin Cho, Junsoo Lee, Soyoung Yang, Juntae Kim, Yeojeong Park, Haneol Lee, Mohammad Azam Khan, Daesik Kim, J. Choo",2022,IEEE Workshop/Winter Conference on Applications of Computer Vision,,https://www.semanticscholar.org/paper/2355699c4bb732a927e6c5cc11c4ca8b53f4fb09
Hair Shading Style Transfer for Manga with cGAN,"M. Aizawa, R. Orihara, Y. Sei, Yasuyuki Tahara, Akihiko Ohsuga",2020,International Conference on Agents and Artificial Intelligence,,https://www.semanticscholar.org/paper/8d694b0bc38ab54ef61cebf7a4e71e014bfd4068
Hierarchical Feature Warping and Blending for Talking Head Animation,,,,,
Hierarchical Multi-Label Attribute Classification With Graph Convolutional Networks on Anime Illustration,,,,,
High-Resolution Image Harmonization via Collaborative Dual Transformations,"Wenyan Cong, Xinhao Tao, Li Niu, Jing Liang, Xuesong Gao, Qihao Sun, Liqing Zhang",2021,Computer Vision and Pattern Recognition,,https://www.semanticscholar.org/paper/06b89ee29ef9deed1662ef860e19c725a887458a
SV3D: Novel Multi-view Synthesis and 3D Generation from a Single Image using Latent Video Diffusion,"Vikram S. Voleti, Chun-Han Yao, Mark Boss, Adam Letts, David Pankratz, Dmitry Tochilkin, Christian Laforte, Robin Rombach, Varun Jampani",2024,European Conference on Computer Vision,,https://www.semanticscholar.org/paper/03e2cfa44b64489fb98f09dfbd940043fbef90ad
HistoGAN: Controlling Colors of GAN-Generated and Real Images via Color Histograms,"M. Afifi, Marcus A. Brubaker, M. S. Brown",2020,Computer Vision and Pattern Recognition,,https://www.semanticscholar.org/paper/0ddfdbf470c961bcf9ecbba42e9afebcbab044ee
Histogram of Exclamation Marks and Its Application for Comics Analysis,"Sotaro Hiroe, S. Hotta",2017,IEEE International Conference on Document Analysis and Recognition,,https://www.semanticscholar.org/paper/e7bc98461f130615dacea667300404858e2b6f9e
HoLLMwood: Unleashing the Creativity of Large Language Models in Screenwriting via Role Playing,"Jing Chen, Xinyu Zhu, Cheng Yang, Chufan Shi, Yadong Xi, Yuxiang Zhang, Junjie Wang, Jiashu Pu, Rongsheng Zhang, Yujiu Yang, Tian Feng",2024,Conference on Empirical Methods in Natural Language Processing,,https://www.semanticscholar.org/paper/d4b8783a84888503ef3ad242197585258f8c218f
How to train your conditional GAN: An approach using geometrically structured latent manifolds,"Sameera Ramasinghe, M. Farazi, Salman Hameed Khan, Nick Barnes, Stepehn Gould",2020,arXiv.org,,https://www.semanticscholar.org/paper/42c2b76352d3a97c0feef88e37f224527e5c5541
HRInversion: High-Resolution GAN Inversion for Cross-Domain Image Synthesis,"Peng Zhou, Lingxi Xie, Bingbing Ni, Lin Liu, Qi Tian",2023,IEEE transactions on circuits and systems for video technology (Print),,https://www.semanticscholar.org/paper/8a93d21c111e9aa78f96764b491c6c0659720829
Human-Art: A Versatile Human-Centric Dataset Bridging Natural and Artificial Scenes,,,,,
Hyprogan: Breaking the Dimensional wall From Human to Anime,,,,,
I Hear Your True Colors: Image Guided Audio Generation,"Roy Sheffer, Yossi Adi",2022,"IEEE International Conference on Acoustics, Speech, and Signal Processing",,https://www.semanticscholar.org/paper/a070666da8a25c563b4fa1bc00311ed2960bf22f
Identity-Aware Semi-Supervised Learning for Comic Character Re-Identification,,,,,
Illustration2Vec: A Semantic Vector Representation of Illustrations,,,,,
A Remote-Sensing Method to Estimate Bulk Refractive Index of Suspended Particles from GOCI Satellite Measurements over Bohai Sea and Yellow Sea,"D. Sun, Zunbin Ling, Shengqiang Wang, Z. Qiu, Yu Huan, Z. Mao, Yijun He",2019,Applied Sciences,,https://www.semanticscholar.org/paper/023915786a039410d2836f96fce18aa9a1d65c69
Image Generation From Small Datasets via Batch Statistics Adaptation,"Atsuhiro Noguchi, T. Harada",2019,IEEE International Conference on Computer Vision,,https://www.semanticscholar.org/paper/1e10a58cd3d3974d083ec5aa323e5d10c43fc061
Image Referenced Sketch Colorization Based on Animation Creation Workflow,"Dingkun Yan, Xinrui Wang, Zhuoru Li, Suguru Saito, Yusuke Iwasawa, Yutaka Matsuo, Jiaxian Guo",2025,Computer Vision and Pattern Recognition,,https://www.semanticscholar.org/paper/a2b25a2cb9b3be5a9913bddd2e870327e4bb420c
Deep Illumination: Approximating Dynamic Global Illumination with Generative Adversarial Network,"M. M. Thomas, A. Forbes",2017,arXiv.org,,https://www.semanticscholar.org/paper/00424e3aed0c6bc392133d027025c7401ce6ab9f
Improving Generation and Evaluation of Visual Stories via Semantic Consistency,"Adyasha Maharana, Darryl Hannan, Mohit Bansal",2021,North American Chapter of the Association for Computational Linguistics,,https://www.semanticscholar.org/paper/87a0279c1d640b486dc5c9f1e0d3705ed87754cf
Improving Reference-Based Image Colorization For Line Arts Via Feature Aggregation And Contrastive Learning,,,,,
Improving Shape Deformation in Unsupervised Image-to-Image Translation,,,,,
Improving the Perceptual Quality of 2D Animation Interpolation,"Shuhong Chen, Matthias Zwicker",2021,European Conference on Computer Vision,,https://www.semanticscholar.org/paper/1831959445c2e995b9fe79dfa6386de6c58138cf
Improving The Quality Of Illustrations: Transforming Amateur Illustrations To A Professional Standard,,,,,
Ink-and-Ray: Bas-Relief Meshes for Adding Global Illumination Effects to Hand-Drawn Characters,,,,,
Inkn'hue: Enhancing Manga Colorization from Multiple Priors with Alignment Multi-Encoder VAE,,,,,
Instance-guided Cartoon Editing with a Large-scale Dataset,"Jian Lin, Chengze Li, Xueting Liu, Zhongping Ge",2023,arXiv.org,,https://www.semanticscholar.org/paper/26581d2eafc53fbf73b30da664934b320df3ef8a
Intelligent Grimm - Open-ended Visual Storytelling via Latent Diffusion Models,"Chang Liu, Haoning Wu, Yujie Zhong, Xiaoyu Zhang, Weidi Xie",2023,Computer Vision and Pattern Recognition,,https://www.semanticscholar.org/paper/e8753374e402cd756dcfec9bc74a34f8a5047f80
Interactive Anime Sketch Colorization with Style Consistency via a Deep Residual Neural Network,"Ru-Ting Ye, Wei-Li Wang, Ju-Chin Chen, K. W. Lin",2019,International Conference on Technologies and Applications of Artificial Intelligence,,https://www.semanticscholar.org/paper/498afde3bfd1e274af389b76328c881109057115
Interactive Cartoonization with Controllable Perceptual Factors,"Namhyuk Ahn, Patrick Kwon, Jihye Back, Kibeom Hong, Seungkwon Kim",2022,Computer Vision and Pattern Recognition,,https://www.semanticscholar.org/paper/04e399a661e1f3ce16f26f5622aaf05eace2ca2f
Interactive Digital Comic Learning Media Based on Literacy in Social Studies Content for Elementary School Students,"Ni Made Nur Adi Wijayanti, I. G. A. A. Wulandari, Anak Agung Ayu Dewi Sutyaningsih",2025,International Journal of Natural Sciences and Engineering,,https://www.semanticscholar.org/paper/016160fb7960ca56acf6de2af1548bcb47e4f59b
Interactive Manga Colorization with Fast Flat Coloring,"Delong Ouyang, Ryosuke Furuta, Yugo Shimizu, Y. Taniguchi, Ryota Hinami, Shonosuke Ishiwatari",2021,SIGGRAPH ASIA Posters,,https://www.semanticscholar.org/paper/1e12cef368286175ac98a378a13bc40f8b79432c
Supplementary Materials for Paper “InternVL: Scaling up Vision Foundation Models and Aligning for Generic Visual-Linguistic Tasks”,,,,,https://www.semanticscholar.org/paper/8692a8ac9cb05ddde764db85b40cb062c1a8a6c5
Interpolation based Anime Face Style Transfer,"Sy-Tuyen Ho, Vinh-Tiep Nguyen, T. Ngo",2020,International Conference on Multimedia Analysis and Pattern Recognition,,https://www.semanticscholar.org/paper/69ce68bf556e49f663cdf0f94c527e86ebc4ae9a
Intrinsic Image Harmonization,,,,,
Investigating Neural Networks and Transformer Models for Enhanced Comic Decoding,,,,,
Joint Geometric-Semantic Driven Character Line Drawing Generation,,,,,
Joint Stroke Tracing and Correspondence for 2D Animation,"Haoran Mo, Chengying Gao, Ruomei Wang",2024,ACM Transactions on Graphics,,https://www.semanticscholar.org/paper/47ee6b0f3f31ea82ff5c36669f845f74f3f1c601
JoJoGAN: One Shot Face Stylization,,,,,
KidsGUARD: fine grained approach for child unsafe video representation and detection,"Shubham Singh, Rishabh Kaushal, Arun Balaji Buduru, P. Kumaraguru",2019,ACM Symposium on Applied Computing,,https://www.semanticscholar.org/paper/6a9bfb8ea06d011900d7facc93ee77e5733b8870
L2M-GAN: Learning to Manipulate Latent Space Semantics for Facial Attribute Editing,"Guoxing Yang, Nanyi Fei, Mingyu Ding, Guangzhen Liu, Zhiwu Lu, T. Xiang",2021,Computer Vision and Pattern Recognition,,https://www.semanticscholar.org/paper/6a156289c7758ff5ce53cdab0931267e59725d7c
Landmark Assisted CycleGAN for Cartoon Face Generation,,,,,
Language-Guided Face Animation by Recurrent StyleGAN-Based Generator,"Tiankai Hang, Huan Yang, Bei Liu, Jianlong Fu, Xin Geng, B. Guo",2022,IEEE transactions on multimedia,,https://www.semanticscholar.org/paper/4bd8f9f7daec78d7a86ff8a4d1326fd347b963be
LANIT: Language-Driven Image-to-Image Translation for Unlabeled Data,"Jihye Park, Soohyun Kim, Sunwoo Kim, Jaejun Yoo, Youngjung Uh, Seung Wook Kim",2022,Computer Vision and Pattern Recognition,,https://www.semanticscholar.org/paper/b1754d37749e43ba4e7ed786c528de59122d5d63
Large Language Models as Manga Translators: A Case Study,"Zhishen Yang, Tosho Hirasawa, Edison Marrese-Taylor, Naoaki Okazaki",,,,https://www.semanticscholar.org/paper/7f47d4f5b98de70c088ec580d3d6bb50370ae6d1
Late-resizing: A Simple but Effective Sketch Extraction Strategy for Improving Generalization of Line-art Colorization,,,,,
LayerAnimate: Layer-specific Control for Animation,,,,,
LayoutGAN: Synthesizing Graphic Layouts With Vector-Wireframe Adversarial Networks,"Jianan Li, Jimei Yang, Aaron Hertzmann, Jianming Zhang, Tingfa Xu",2020,IEEE Transactions on Pattern Analysis and Machine Intelligence,,https://www.semanticscholar.org/paper/0f10d01ebce1f175019d58a52058827ddbc85d98
Consensus Style Centralizing Auto-Encoder for Weak Style Classification,"Shuhui Jiang, Ming Shao, Chengcheng Jia, Y. Fu",2016,AAAI Conference on Artificial Intelligence,,https://www.semanticscholar.org/paper/05d5860c98b935fa6b1cd037dbac2c13b3945876
Learning Inclusion Matching for Animation Paint Bucket Colorization,"Yu Dai, Shangchen Zhou, Qinyue Li, Chongyi Li, Chen Change Loy",2024,Computer Vision and Pattern Recognition,,https://www.semanticscholar.org/paper/3ae8aab20ce7187a2cfeebfcd43ed81b00f7f8a9
Learning Inclusion Matching for Animation Paint Bucket Colorization,"Yu Dai, Shangchen Zhou, Qinyue Li, Chongyi Li, Chen Change Loy",2024,Computer Vision and Pattern Recognition,,https://www.semanticscholar.org/paper/3ae8aab20ce7187a2cfeebfcd43ed81b00f7f8a9
Learning to Cartoonize Using White-Box Cartoon Representations,"Xinrui Wang, Jinze Yu",2020,Computer Vision and Pattern Recognition,,https://www.semanticscholar.org/paper/0269b13ccbe3e3a81213e7ca2b049298d3a154f5
Learning to Dub Movies via Hierarchical Prosody Models,,,,,
Learning to Incorporate Texture Saliency Adaptive Attention to Image Cartoonization,,,,,
Learning to Shadow Hand-drawn Sketches,,,,,
Cleanup Sketched Drawings: Deep Learning-Based Model,"A. A. Mohammed, Jiazhou Chen",2022,Applied Bionics and Biomechanics,,https://www.semanticscholar.org/paper/155a8158b13d160d1effa8611f4c4339c9ee0082
Line Art Colorization Based on Explicit Region Segmentation,"Ruizhi Cao, Haoran Mo, Chengying Gao",2021,Computer graphics forum (Print),,https://www.semanticscholar.org/paper/23faec9b5913354d559ba74e53212ae55fd08940
Line Art Colorization with Concatenated Spatial Attention,,,,,
Line Art Correlation Matching Feature Transfer Network for Automatic Animation Colorization,"Qian Zhang, Bo Wang, W. Wen, Hai Li, Junhui Liu",2020,IEEE Workshop/Winter Conference on Applications of Computer Vision,,https://www.semanticscholar.org/paper/dd84195cce4d629227788641a866beea7213c53c
Line-Based Drawing Style Description for Manga Classification,"W. Chu, Ying-Chieh Chao",2014,ACM Multimedia,,https://www.semanticscholar.org/paper/8a5ca4a0d84d355784c57dbe817b75da0acad58a
Line-Wise Text Identification in Comic Books: A Support Vector Machine-Based Approach,,,,,
LinkTo-Anime: A 2D Animation Optical Flow Dataset from 3D Model Rendering,,,,,
LongAnimation: Long Animation Generation with Dynamic Global-Local Memory,"Nan Chen, Mengqi Huang, Yihao Meng, Zhendong Mao",2025,arXiv.org,,https://www.semanticscholar.org/paper/75ec9f15fc1aa791940769e040c7b93b8aba1192
LVCD: Reference-based Lineart Video Colorization with Diffusion Models,"Zhitong Huang, Mohan Zhang, Jing Liao",2024,ACM Transactions on Graphics,,https://www.semanticscholar.org/paper/97705d8c14345882683edefc367e830f94b3415e
LVCD: Reference-based Lineart Video Colorization with Diffusion Models,"Zhitong Huang, Mohan Zhang, Jing Liao",2024,ACM Transactions on Graphics,,https://www.semanticscholar.org/paper/97705d8c14345882683edefc367e830f94b3415e
M2C: Towards Automatic Multimodal Manga Complement,,,,,
"MagicAnime: A Hierarchically Annotated, Multimodal and Multitasking Dataset with Benchmarks for Cartoon Animation Generation","Shuolin Xu, Bingyuan Wang, Zeyu Cai, Fangteng Fu, Yue Ma, Tongyi Lee, Hongchuan Yu, Zeyu Wang",2025,,,https://www.semanticscholar.org/paper/41ee225d10ea8d2d6661d846a279e1239f99311a
Make-A-Story: Visual Memory Conditioned Consistent Story Generation,"Tanzila Rahman, Hsin-Ying Lee, Jian Ren, S. Tulyakov, Shweta Mahajan, L. Sigal",2022,Computer Vision and Pattern Recognition,,https://www.semanticscholar.org/paper/444d7286e421839aeb7731127bbaedd29d8b401b
Make-A-Storyboard: A General Framework for Storyboard with Disentangled and Merged Control,"Sitong Su, Litao Guo, Lianli Gao, Hengtao Shen, Jingkuan Song",2023,arXiv.org,,https://www.semanticscholar.org/paper/1586a7f0918855d7a396b15d70f41577aee77713
MakeItTalk: Speaker-Aware Talking Head Animation,"Yang Zhou, Dingzeyu Li, Xintong Han, E. Kalogerakis, Eli Shechtman, J. Echevarria",2020,arXiv.org,,https://www.semanticscholar.org/paper/7a7c4e666e5dd8a489770643b72fd99cf708f7c1
Making Robots Draw A Vivid Portrait In Two Minutes,,,,,
Manga Colorization,,,,,
Manga content analysis using physiological signals,"Charles Lima Sanches, Olivier Augereau, K. Kise",2016,MANPU@ICPR,,https://www.semanticscholar.org/paper/54d0d36eb833b1ffed905f25e06abc3dc6db233b
Manga Filling Style Conversion with Screentone Variational Autoencoder,,,,,
Manga Generation via Layout-controllable Diffusion,"Siyu Chen, Dengjie Li, Zenghao Bao, Yao Zhou, Lingfeng Tan, Yujie Zhong, Zheng Zhao",2024,arXiv.org,,https://www.semanticscholar.org/paper/13840f3a30b6cd4c3ebdb7cc1603363b3948b0de
Manga Rescreening with Interpretable Screentone Representation,"M. Xie, Chengze Li, T. Wong",2023,arXiv.org,,https://www.semanticscholar.org/paper/7a6a87bb04eb663fcb6aaa80c1e3c714334ea40e
